Joshua Project People Group Data

ROL3,Language,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
aht,Ahtena,1,4,N,0,,,,N,N,,1,Christianity
nfd,Ahwai,3,4,N,2,,,,N,Y,,1,Christianity
aih,Ai-Cham,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
aix,Aighon,1,5,N,3,,,2024,N,Y,,1,Christianity
tba,Aikana,1,5,N,3,,,2016,Y,Y,,4,"Ethnic Religions"
mwg,Aiklep,1,5,N,2,,,,N,Y,,1,Christianity
aiq,Aimaq,5,1,Y,0,,,,N,N,,6,Islam
aim,Aimol,3,3,N,4,,2013-2014,Yes,N,Y,aim,1,Christianity
aic,Ainbai,1,5,N,0,,,,N,N,,1,Christianity
aib,"Ainu (China)",1,1,Y,1,,,,N,N,,6,Islam
ain,"Ainu (Japan)",1,1,Y,4,,1897-1981,1889-1896,N,N,ain,4,"Ethnic Religions"
aki,Aiome,1,5,N,1,,,,N,Y,,1,Christianity
air,Airoran,1,5,N,1,,,,N,N,,1,Christianity
mmq,Aisi,1,5,N,3,,,Yes,N,N,,1,Christianity
aio,Aiton,1,1,Y,2,,,,N,Y,,2,Buddhism
nfl,Aiwoo,1,5,N,3,,,1980-1999,N,Y,,1,Christianity
ahp,"Aizi, Aproumu",1,4,N,0,,,,N,Y,,1,Christianity
ahm,"Aizi, Mobumrin",1,4,N,0,,,,N,N,,1,Christianity
ahi,"Aizi, Tiagbamrin",1,4,N,1,,,,N,N,,1,Christianity
ajg,"Aja (Benin)",2,5,N,4,,2023,2010-2018,Y,Y,,4,"Ethnic Religions"
aja,"Aja (South Sudan)",,,N,0,,,,N,N,,,
aji,Ajie,2,5,N,4,,1922-2014,1903-1972,N,Y,aji,1,Christianity
afo,Ajiri,1,2,N,3,,,1972,N,Y,,4,"Ethnic Religions"
idc,Ajiya,1,4,N,2,,,,N,N,,4,"Ethnic Religions"
muc,Ajumbu,1,3,N,1,,,,N,N,,1,Christianity
cpc,"Ajyininka Apurucayali",1,3,N,4,,2000,2000,N,N,cpc,1,Christianity
akq,Ak,1,4,N,0,,,,N,Y,,4,"Ethnic Religions"
soh,Aka,1,4,N,0,,,,N,N,,6,Islam
aka,Akan,22,5,N,5,1871-1964,1863-1981,1859-1957,Y,Y,,1,Christianity
aks,Akaselem,1,1,Y,3,,,2018,N,Y,,6,Islam
knj,Akateko,2,4,N,5,2016,1981-2012,1981,Y,Y,knj,1,Christianity
ake,Akawaio,3,5,N,4,,2010,1873-2008,N,Y,ake,1,Christianity
keu,Akebu,1,4,N,3,,,2010-2015,Y,Y,,4,"Ethnic Religions"
tsr,Akei,1,5,N,3,,,1909-1924,N,Y,,1,Christianity
aeu,Akeu,4,1,Y,4,,2015,2006–2012,Y,Y,aeu,4,"Ethnic Religions"
ahk,Akha,6,5,N,5,2001-2018,1968-1987,1939-1991,Y,Y,ahk,4,"Ethnic Religions"
akv,Akhvakh,1,1,Y,0,,,,N,N,,6,Islam
akl,Aklanon,2,5,N,4,,2024,1988-1996,Y,Y,3823,1,Christianity
akt,Akolet,1,5,N,2,,,,N,Y,,1,Christianity
bss,Akoose,1,4,N,4,,2011-2012,1998-2010,Y,Y,bss,1,Christianity
miw,Akoye,1,5,N,3,,,1994-2000,N,N,,1,Christianity
ibe,Akpes,1,4,N,2,,,,N,N,,4,"Ethnic Religions"
spm,Akukem,1,5,N,3,,,2003-2010,N,Y,spm,1,Christianity
ayk,Akuku,1,,N,2,,,,N,N,,,
aku,Akum,2,4,N,1,,,,N,Y,,1,Christianity
aqz,Akuntsu,,,N,0,,,,N,N,,,
ako,Akurio,,,N,0,,,,N,N,,,
akw,Akwa,1,4,N,2,,,,N,Y,,1,Christianity
akf,Akweya,1,5,N,2,,,,N,Y,,1,Christianity
aik,Akye,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
syy,"Al-Sayyid Bedouin Sign Language",,,N,0,,,,N,N,,,
alw,Alaba-K'abeena,2,1,Y,4,,2015-2017,2009,Y,Y,,6,Islam
akz,Alabama,1,4,N,0,,,,N,N,,1,Christianity
ala,Alago,1,4,N,3,,,1929,N,Y,,4,"Ethnic Religions"
wbj,Alagwa,1,1,Y,3,,,2018,Y,Y,,6,Islam
alk,Alak,1,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
amp,Alamblak,1,5,N,4,,2003-2014,1974-1998,N,N,amp,1,Christianity
alj,Alangan,1,5,N,4,,1989,1962-1981,N,Y,,1,Christianity
alh,Alawa,,,N,0,,,,N,Y,,,
sqk,"Albanian Sign Language",2,,N,1,,,,N,N,,6,Islam
aae,"Albanian, Arbereshe",1,3,N,3,,,1868-1970,N,N,3757,1,Christianity
aat,"Albanian, Arvanitika",1,3,N,0,,,,N,N,,1,Christianity
aln,"Albanian, Gheg",23,2,N,4,,1869-1990,1866-1978,Y,Y,aln,6,Islam
als,"Albanian, Tosk",10,2,N,5,Yes,1827-2007,1824-1914,Y,Y,als,6,Islam
lsc,"Albarradas Sign Language",,,N,1,,,,N,N,,,
gwd,Ale,1,5,N,3,,,2017-2020,Y,Y,,1,Christianity
gah,Alekano,1,5,N,4,,1973-2013,1963-1968,N,Y,gah,1,Christianity
ale,Aleut,2,4,N,3,,,1840-2008,N,Y,,1,Christianity
asp,"Algerian Sign Language",1,,N,2,,,,N,N,,6,Islam
alq,Algonquin,1,4,N,4,,1998-2021,1980-1998,N,Y,alq,1,Christianity
aiy,Ali,1,5,N,2,,,,N,N,,1,Christianity
ald,Alladian,1,4,N,4,,2003-2005,1937-1968,N,Y,ald,1,Christianity
all,Allar,1,1,Y,2,,,,N,Y,,5,Hinduism
aol,Alor,1,4,N,2,,,,N,Y,,6,Islam
aqn,"Alta, Northern",1,2,N,2,,,,N,N,,4,"Ethnic Religions"
agy,"Alta, Southern",1,5,N,3,,,1970-1974,N,Y,,4,"Ethnic Religions"
atv,"Altai, Northern",4,1,Y,0,,,,N,N,,4,"Ethnic Religions"
alt,"Altai, Southern",4,1,Y,4,,2003-2017,Yes,Y,Y,alt,4,"Ethnic Religions"
aub,Alugu,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
alp,Alune,1,5,N,4,,2012,1991-2012,N,Y,alp,1,Christianity
yna,Aluo,1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
alz,Alur,2,5,N,5,1936-2024,1933-1979,1921-1985,Y,Y,alz,1,Christianity
alr,Alutor,,,N,0,,,,N,N,,,
avd,Alviri-Vidari,1,1,Y,0,,,,N,Y,,6,Islam
aly,Alyawarr,1,5,N,3,,,1994-2020,N,Y,aly,1,Christianity
nyi,Ama,1,1,Y,3,,,1950,N,Y,,6,Islam
amq,Amahai,,,N,0,,,,N,N,,,
amc,Amahuaca,2,5,N,3,,,1963-1997,N,Y,,4,"Ethnic Religions"
ali,Amaimon,1,5,N,2,,,,N,N,,1,Christianity
koz,Amako,1,5,N,2,,,,N,N,,1,Christianity
aad,Amal,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
wer,Amam,1,5,N,4,,1984-2015,1966,Y,Y,wer,1,Christianity
jks,"Amami Koniya Sign Language",,,N,0,,,,N,N,,,
ryn,"Amami-Oshima, Northern",1,1,Y,0,,,,N,N,,2,Buddhism
ams,"Amami-Oshima, Southern",1,1,Y,0,,,,N,N,,2,Buddhism
amn,Amanab,1,5,N,4,,2001-2012,1996-1997,Y,Y,amn,1,Christianity
ama,Amanaye,,,N,0,,,,N,N,,,
aie,Amara,1,5,N,1,,,,N,N,,1,Christianity
amr,Amarakaeri,1,1,Y,4,,1986-2008,1972-1976,N,Y,amr,4,"Ethnic Religions"
aaz,Amarasi,1,4,N,4,,2014-2015,2002-2011,N,Y,aaz,1,Christianity
utp,"Amba (Solomon Islands)",2,5,N,2,,,,N,Y,,1,Christianity
rwm,"Amba (Uganda)",2,5,N,3,,,2004-2014,Y,Y,,1,Christianity
omb,"Ambae, East",1,5,N,4,,2013-2014,1971-1986,Y,Y,omb,1,Christianity
nnd,"Ambae, West",1,5,N,4,,1984-2018,1916,N,Y,nnd,1,Christianity
amk,Ambai,1,4,N,4,,2010,1991-2003,Y,Y,amk,6,Islam
aew,Ambakich,1,5,N,0,,,,N,N,,1,Christianity
wgo,Ambel,1,4,N,2,,,,N,Y,,1,Christianity
amv,Ambelau,1,4,N,1,,,,N,N,,6,Islam
ael,Ambele,1,4,N,1,,,,N,Y,,1,Christianity
alm,Amblong,1,5,N,0,,,,N,N,,1,Christianity
amb,Ambo,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
aag,Ambrak,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
mmg,"Ambrym, North",1,5,N,3,,,2019-2021,N,Y,mmg,1,Christianity
tvk,"Ambrym, Southeast",1,5,N,4,,2015,1949-2011,Y,Y,tvk,1,Christianity
apo,Ambul,1,5,N,1,,,,N,N,,1,Christianity
abt,Ambulas,1,5,N,4,,1974-1996,1974-1992,N,Y,abt,1,Christianity
amj,Amdang,2,1,Y,0,,,,N,N,,6,Islam
aey,Amele,1,5,N,4,,1997,1952-1989,N,Y,aey,1,Christianity
ase,"American Sign Language",6,,N,5,2020,2005,1982-1996,Y,N,,1,Christianity
amh,Amharic,28,3,N,5,1840-2014,1829-1988,1824-1988,Y,Y,amh,1,Christianity
amy,Ami,,,N,0,,,,N,N,,,
let,Amio-Gelimi,1,5,N,1,,,,N,N,,1,Christianity
ami,Amis,2,4,N,5,1997,1972-1991,1991,N,Y,ami,1,Christianity
amo,Amo,1,5,N,2,,,,N,Y,,1,Christianity
apg,Ampanang,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
ajz,"Amri Karbi",17,2,N,4,,2010-2014,Yes,Y,N,ajz,5,Hinduism
amt,Amto,1,4,N,3,,,1992,N,Y,,4,"Ethnic Religions"
adw,Amundava,1,4,N,2,,,,N,N,,4,"Ethnic Religions"
amg,Amurdak,,,N,0,,,,N,N,,,
amu,"Amuzgo, Guerrero",1,4,N,4,,1973-2009,1953-1998,Y,Y,amu,1,Christianity
azm,"Amuzgo, Ipalapa",1,5,N,2,,,,N,Y,,1,Christianity
azg,"Amuzgo, San Pedro Amuzgos",1,4,N,4,,1992-2009,1978-1980,Y,Y,azg,1,Christianity
anw,Anaang,1,5,N,3,,,2020,Y,Y,,1,Christianity
akg,Anakalangu,1,4,N,2,,,,N,Y,,1,Christianity
anm,Anal,35,3,N,5,2006-2015,1983,1949-1983,N,Y,anm,1,Christianity
pda,Anam,1,5,N,1,,,,N,N,,1,Christianity
aan,Anambe,,,N,0,,,,N,N,,,
imi,Anamuxra,1,5,N,1,,,,N,N,,1,Christianity
bpo,Anasi,1,4,N,1,,,,N,N,,1,Christianity
acb,Anca,1,2,N,2,,,,N,N,,4,"Ethnic Religions"
dgl,Andaandi,1,1,Y,3,,,2022,Y,N,,6,Islam
afd,Andai,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
ajn,Andajin,,,N,0,,,,N,N,,,
hca,"Andaman Hindi Creole",48,3,N,2,,,,N,Y,,5,Hinduism
ana,Andaqui,,,N,0,,,,N,N,,,
aod,Andarum,1,5,N,2,,,,N,N,,1,Christianity
adg,Andegerebinha,,,N,0,,,,N,N,,,
anr,Andh,1,1,Y,2,,,,N,Y,,5,Hinduism
ani,Andi,1,1,Y,3,,,2007,N,N,,6,Islam
bzb,Andio,1,1,Y,3,,,2022,Y,N,,6,Islam
ano,Andoque,1,4,N,3,,,1976,N,Y,,1,Christianity
anx,Andra-Hus,1,5,N,2,,,,N,Y,,1,Christianity
aty,Aneityum,1,5,N,5,1879,1879,1853-1865,N,Y,aty,1,Christianity
anz,Anem,1,5,N,2,,,,N,N,,1,Christianity
aby,"Aneme Wake",1,5,N,4,,1988-2019,Yes,N,N,aby,1,Christianity
myo,Anfillo,,,N,2,,,,N,N,,,
agm,Angaataha,1,5,N,4,,1994-2004,1976-1980,Y,N,agm,1,Christianity
aqt,Angaite,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
age,Angal,1,5,N,3,,,1985-1990,N,Y,,1,Christianity
aoe,"Angal Enen",1,5,N,4,,2001,1968-1996,N,Y,,1,Christianity
akh,"Angal Heneng",2,5,N,4,,1978-2013,1967,Y,Y,akh,1,Christianity
anp,Angika,204,1,Y,3,,,2010-2011,Y,Y,,5,Hinduism
rme,Angloromani,5,5,N,3,,,1874-2013,N,N,rme,1,Christianity
aoa,Angolar,1,4,N,1,,,,N,N,,1,Christianity
agg,Angor,1,5,N,4,,2001-2012,1973-1992,N,Y,agg,1,Christianity
aog,Angoram,1,5,N,1,,,,N,Y,,1,Christianity
hnh,Ani,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
blo,Anii,2,1,Y,3,,,2019,N,Y,,6,Islam
anf,Animere,1,5,N,0,,,,N,Y,,1,Christianity
aoi,Anindilyakwa,1,5,N,3,,,1976-1995,N,Y,aoi,1,Christianity
aqk,Aninka,1,5,N,1,,,,N,N,,1,Christianity
boj,Anjam,1,5,N,4,,2000-2014,1987-1989,Y,N,boj,1,Christianity
aak,Ankave,1,4,N,4,,1990-1991,1986-1992,N,N,aak,4,"Ethnic Religions"
amx,Anmatyerr,1,5,N,3,,,2007-2020,N,N,amx,1,Christianity
nun,Anong,2,5,N,5,2015,1981,2005-2010,N,Y,,4,"Ethnic Religions"
anj,Anor,1,5,N,1,,,,N,Y,,1,Christianity
and,Ansus,1,4,N,3,,,2019,Y,N,,1,Christianity
ant,Antikarinya,,,N,0,,,,N,N,,,
anu,Anuak,3,5,N,5,2013,1962-1965,1956-2000,Y,Y,anu,1,Christianity
cko,Anufo,3,1,Y,4,,2006-2010,1993,Y,Y,cko,4,"Ethnic Religions"
aui,Anuki,1,5,N,3,,,2009,N,Y,aui,1,Christianity
auq,Anus,1,5,N,0,,,,N,Y,,1,Christianity
aud,Anuta,1,5,N,0,,,,N,N,,1,Christianity
any,Anyin,3,5,N,4,,1997,1927-1993,Y,Y,any,1,Christianity
mtb,"Anyin Morofo",1,4,N,1,,,,N,Y,,1,Christianity
pni,Aoheng,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
kbx,"Ap Ma",1,5,N,3,,,1990-2011,N,Y,,1,Christianity
apj,"Apache, Jicarilla",1,4,N,3,,,1965,N,Y,,1,Christianity
apk,"Apache, Kiowa",,,N,0,,,,N,N,,,
apl,"Apache, Lipan",,,N,0,,,,N,N,,,
apm,"Apache, Mescalero-Chiricahua",1,4,N,0,,,,N,Y,,1,Christianity
apw,"Apache, Western",1,4,N,4,,1966-2012,1958,N,Y,apw,1,Christianity
ena,Apal,1,5,N,4,,2022,1992-2005,N,Y,ena,1,Christianity
apy,Apalai,1,5,N,5,2017,1986,1972-1975,Y,Y,apy,1,Christianity
apt,Apatani,16,3,N,4,,2004-2014,Yes,N,Y,apt,9,Unknown
api,Apiaka,,,N,0,,,,N,N,,,
apn,Apinaye,1,5,N,4,,1999-2010,1967-1989,Y,Y,apn,1,Christianity
app,Apma,1,5,N,3,,,1971-1982,N,Y,,1,Christianity
apu,Apurina,1,5,N,4,,2004,1993,Y,Y,apu,4,"Ethnic Religions"
apx,Aputai,,,N,0,,,,N,N,,,
ard,Arabana,,,N,0,,,,N,N,,,
arl,Arabela,1,3,N,4,,1986-2008,1965-2002,N,Y,arl,1,Christianity
arq,"Arabic, Algerian",28,1,Y,4,,1965-2020,1872-1964,Y,Y,arq,6,Islam
aao,"Arabic, Algerian Saharan",9,1,Y,3,,,1992,Y,Y,,6,Islam
abv,"Arabic, Baharna",2,1,Y,2,,,,N,N,,6,Islam
shu,"Arabic, Chadian",11,1,Y,5,2019-2023,2012,1964,Y,Y,shu,6,Islam
acy,"Arabic, Cypriot",1,3,N,0,,,,N,N,,1,Christianity
adf,"Arabic, Dhofari",1,1,Y,2,,,,N,N,,6,Islam
avl,"Arabic, Eastern Egyptian Bedawi",7,1,Y,3,,,2004,Y,Y,,6,Islam
arz,"Arabic, Egyptian",40,4,N,5,2021,1932,1905-2007,Y,Y,arz,6,Islam
afb,"Arabic, Gulf",18,1,Y,3,,,2024,Y,Y,3901,6,Islam
ayh,"Arabic, Hadrami",2,1,Y,3,,,Yes,N,N,ayh,6,Islam
acw,"Arabic, Hijazi",5,1,Y,3,,,2024,Y,Y,3878,6,Islam
pga,"Arabic, Juba",4,1,Y,3,,,1983-1985,N,Y,,6,Islam
yhd,"Arabic, Judeo-Iraqi",2,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
aju,"Arabic, Judeo-Moroccan",4,1,Y,0,,,,N,N,,4,"Ethnic Religions"
yud,"Arabic, Judeo-Tripolitanian",1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
jye,"Arabic, Judeo-Yemeni",2,1,Y,0,,,,N,N,,4,"Ethnic Religions"
apc,"Arabic, Levantine",157,2,N,3,,,1939-2021,N,Y,apc,6,Islam
ayl,"Arabic, Libyan",23,1,Y,0,,,,Y,N,,6,Islam
acm,"Arabic, Mesopotamian",32,1,Y,4,,Yes,Yes,Y,Y,acm,6,Islam
ary,"Arabic, Moroccan",27,1,Y,4,,2012,1902-1952,Y,Y,ary,6,Islam
ars,"Arabic, Najdi",12,1,Y,3,,,2004-2013,N,N,,6,Islam
ayp,"Arabic, North Mesopotamian",5,1,Y,4,,2012,Yes,Y,Y,,6,Islam
acx,"Arabic, Omani",12,1,Y,0,,,,N,N,,6,Islam
aec,"Arabic, Sa'idi",2,4,N,3,,,Yes,Y,Y,,6,Islam
ayn,"Arabic, Sanaani",4,1,Y,0,,,,N,Y,,6,Islam
ssh,"Arabic, Shihhi",2,1,Y,2,,,,N,N,,6,Islam
arb,"Arabic, Standard",,,N,5,1645-2016,1980-1982,1984,Y,Y,arb,,
apd,"Arabic, Sudanese",111,1,Y,4,,1978-2022,1927-1964,Y,Y,apd,6,Islam
acq,"Arabic, Ta'izzi-Adeni",19,1,Y,3,,,2011,Y,Y,,6,Islam
abh,"Arabic, Tajiki",2,1,Y,2,,,,N,Y,,6,Islam
aeb,"Arabic, Tunisian",17,1,Y,4,,1847-2011,1903–2014,Y,Y,aeb,6,Islam
auz,"Arabic, Uzbeki",6,1,Y,0,,,,N,N,,6,Islam
arg,Aragonese,1,3,N,4,,2013,2008,N,Y,,1,Christianity
atq,Aralle-Tabulahan,2,2,N,4,,2004,1999-2000,Y,Y,atq,6,Islam
stk,Aramba,1,4,N,3,,,1997-2008,Y,Y,,4,"Ethnic Religions"
aaf,Aranadan,1,1,Y,0,,,,N,Y,,5,Hinduism
jbj,Arandai,1,4,N,0,,,,N,Y,,1,Christianity
aro,Araona,1,5,N,3,,,1974-1984,N,Y,,1,Christianity
arp,Arapaho,1,4,N,3,,,1903,N,Y,arp,1,Christianity
arj,Arapaso,,,N,0,,,,N,N,,,
aah,"Arapesh, Abu'",1,3,N,1,,,,N,N,,1,Christianity
axg,"Arara, Mato Grosso",1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
aap,"Arara, Para",1,2,N,2,,,,N,Y,,4,"Ethnic Religions"
arw,Arawak,5,4,N,3,,,1799-1978,N,Y,,1,Christianity
awt,Arawete,1,3,N,2,,,,N,N,,1,Christianity
arv,Arbore,1,1,Y,3,,,2023,Y,Y,,4,"Ethnic Religions"
aqc,Archi,1,1,Y,2,,,,N,N,,6,Islam
mwc,Are,1,5,N,5,1925,1921,1904-2011,Y,Y,mwc,1,Christianity
alu,Areare,1,5,N,3,,,1957-2023,N,Y,3761,1,Christianity
aem,Arem,2,1,Y,0,,,,N,N,,4,"Ethnic Religions"
aed,"Argentine Sign Language",1,,N,3,,,2019-2021,N,N,,1,Christianity
agj,Argobba,1,1,Y,0,,,,N,N,,6,Islam
agf,Arguni,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
aqr,Arha,1,4,N,0,,,,N,N,,1,Christianity
aok,Arho,,,N,0,,,,N,N,,,
arh,Arhuaco,1,4,N,3,,,2003-2005,N,Y,,4,"Ethnic Religions"
aac,Ari,1,5,N,2,,,,N,Y,,1,Christianity
ylu,Aribwaung,1,5,N,2,,,,N,N,,1,Christianity
aqg,Arigidi,1,4,N,3,,,1921,N,Y,,4,"Ethnic Religions"
ark,Arikapu,,,N,0,,,,N,N,,,
ari,Arikara,,,N,3,,,1905,N,N,,,
luc,Aringa,1,1,Y,4,,2013,2003-2008,Y,Y,luc,6,Islam
hye,Armenian,5,5,N,5,1666-2017,1834-1994,434-1991,Y,Y,hye,1,Christianity
aen,"Armenian Sign Language",1,,N,3,,,2018,N,N,,1,Christianity
hyw,"Armenian, Western",52,4,N,5,1853-1984,Yes,Yes,Y,Y,hyw,1,Christianity
tei,Aro,1,5,N,1,,,,N,Y,,1,Christianity
rup,Aromanian,8,3,N,3,,,1881-2016,Y,N,rup,1,Christianity
apr,Arop-Lokep,2,5,N,4,,2013-2022,1990-2003,N,Y,apr,1,Christianity
aia,Arosi,1,5,N,4,,2004-2005,1905-2002,Y,Y,aia,1,Christianity
frp,Arpitan,3,3,N,4,,1890,1830-1848,N,N,,1,Christianity
